flavor,opportunity_score,confidence,mentions,positive_rate,brand_fit_score,decision,decision_reason,purchase_intent_available,growth_available,thresholds_used
Strawberry,91.4538,HIGH,9,0.8889,77.78,SELECTED,"SELECTED because opportunity score is above threshold, the flavor has sufficient mentions, positive sentiment, acceptable brand fit, and HIGH or MEDIUM confidence. Purchase intent and temporal growth were unavailable in this dataset; those gaps were not used as automatic reject reasons.",False,False,"{""brand_fit_score_min"": 50.0, ""confidence_allowed"": [""HIGH"", ""MEDIUM""], ""mentions_min"": 2, ""note"": ""Project decision thresholds, not values supplied by Amazon Reviews 2023. brand_fit_score_min is 50 on the 0\u2013100 scale stored in opportunity_scores.csv (same rule as 0.50 on the 0\u20131 aggregation scale)."", ""opportunity_score_min"": 50.0, ""positive_rate_min"": 0.5}"
Chocolate,78.0201,HIGH,7,0.8571,80.95,SELECTED,"SELECTED because opportunity score is above threshold, the flavor has sufficient mentions, positive sentiment, acceptable brand fit, and HIGH or MEDIUM confidence. Purchase intent and temporal growth were unavailable in this dataset; those gaps were not used as automatic reject reasons.",False,False,"{""brand_fit_score_min"": 50.0, ""confidence_allowed"": [""HIGH"", ""MEDIUM""], ""mentions_min"": 2, ""note"": ""Project decision thresholds, not values supplied by Amazon Reviews 2023. brand_fit_score_min is 50 on the 0\u2013100 scale stored in opportunity_scores.csv (same rule as 0.50 on the 0\u20131 aggregation scale)."", ""opportunity_score_min"": 50.0, ""positive_rate_min"": 0.5}"
Lemonade,55.3119,MEDIUM,3,1.0,77.78,SELECTED,"SELECTED because opportunity score is above threshold, the flavor has sufficient mentions, positive sentiment, acceptable brand fit, and HIGH or MEDIUM confidence. Purchase intent and temporal growth were unavailable in this dataset; those gaps were not used as automatic reject reasons.",False,False,"{""brand_fit_score_min"": 50.0, ""confidence_allowed"": [""HIGH"", ""MEDIUM""], ""mentions_min"": 2, ""note"": ""Project decision thresholds, not values supplied by Amazon Reviews 2023. brand_fit_score_min is 50 on the 0\u2013100 scale stored in opportunity_scores.csv (same rule as 0.50 on the 0\u20131 aggregation scale)."", ""opportunity_score_min"": 50.0, ""positive_rate_min"": 0.5}"
Banana,52.748,MEDIUM,3,1.0,66.67,SELECTED,"SELECTED because opportunity score is above threshold, the flavor has sufficient mentions, positive sentiment, acceptable brand fit, and HIGH or MEDIUM confidence. Purchase intent and temporal growth were unavailable in this dataset; those gaps were not used as automatic reject reasons.",False,False,"{""brand_fit_score_min"": 50.0, ""confidence_allowed"": [""HIGH"", ""MEDIUM""], ""mentions_min"": 2, ""note"": ""Project decision thresholds, not values supplied by Amazon Reviews 2023. brand_fit_score_min is 50 on the 0\u2013100 scale stored in opportunity_scores.csv (same rule as 0.50 on the 0\u20131 aggregation scale)."", ""opportunity_score_min"": 50.0, ""positive_rate_min"": 0.5}"
Raspberry Lime,49.9992,MEDIUM,2,1.0,83.33,REJECTED,REJECTED because opportunity score 49.9992 < 50.0. Purchase intent and temporal growth were unavailable in this dataset; those gaps were not used as automatic reject reasons.,False,False,"{""brand_fit_score_min"": 50.0, ""confidence_allowed"": [""HIGH"", ""MEDIUM""], ""mentions_min"": 2, ""note"": ""Project decision thresholds, not values supplied by Amazon Reviews 2023. brand_fit_score_min is 50 on the 0\u2013100 scale stored in opportunity_scores.csv (same rule as 0.50 on the 0\u20131 aggregation scale)."", ""opportunity_score_min"": 50.0, ""positive_rate_min"": 0.5}"
Coconut,46.1546,MEDIUM,2,1.0,66.67,REJECTED,REJECTED because opportunity score 46.1546 < 50.0. Purchase intent and temporal growth were unavailable in this dataset; those gaps were not used as automatic reject reasons.,False,False,"{""brand_fit_score_min"": 50.0, ""confidence_allowed"": [""HIGH"", ""MEDIUM""], ""mentions_min"": 2, ""note"": ""Project decision thresholds, not values supplied by Amazon Reviews 2023. brand_fit_score_min is 50 on the 0\u2013100 scale stored in opportunity_scores.csv (same rule as 0.50 on the 0\u20131 aggregation scale)."", ""opportunity_score_min"": 50.0, ""positive_rate_min"": 0.5}"
Blueberry,42.4926,MEDIUM,3,0.6667,66.67,REJECTED,REJECTED because opportunity score 42.4926 < 50.0. Purchase intent and temporal growth were unavailable in this dataset; those gaps were not used as automatic reject reasons.,False,False,"{""brand_fit_score_min"": 50.0, ""confidence_allowed"": [""HIGH"", ""MEDIUM""], ""mentions_min"": 2, ""note"": ""Project decision thresholds, not values supplied by Amazon Reviews 2023. brand_fit_score_min is 50 on the 0\u2013100 scale stored in opportunity_scores.csv (same rule as 0.50 on the 0\u20131 aggregation scale)."", ""opportunity_score_min"": 50.0, ""positive_rate_min"": 0.5}"
Orange,42.3077,MEDIUM,2,1.0,50.0,REJECTED,REJECTED because opportunity score 42.3077 < 50.0. Purchase intent and temporal growth were unavailable in this dataset; those gaps were not used as automatic reject reasons.,False,False,"{""brand_fit_score_min"": 50.0, ""confidence_allowed"": [""HIGH"", ""MEDIUM""], ""mentions_min"": 2, ""note"": ""Project decision thresholds, not values supplied by Amazon Reviews 2023. brand_fit_score_min is 50 on the 0\u2013100 scale stored in opportunity_scores.csv (same rule as 0.50 on the 0\u20131 aggregation scale)."", ""opportunity_score_min"": 50.0, ""positive_rate_min"": 0.5}"
Cranberry,30.77,LOW,2,0.5,66.67,REJECTED,"REJECTED because opportunity score 30.7700 < 50.0; confidence LOW is not in ['HIGH', 'MEDIUM']. Purchase intent and temporal growth were unavailable in this dataset; those gaps were not used as automatic reject reasons.",False,False,"{""brand_fit_score_min"": 50.0, ""confidence_allowed"": [""HIGH"", ""MEDIUM""], ""mentions_min"": 2, ""note"": ""Project decision thresholds, not values supplied by Amazon Reviews 2023. brand_fit_score_min is 50 on the 0\u2013100 scale stored in opportunity_scores.csv (same rule as 0.50 on the 0\u20131 aggregation scale)."", ""opportunity_score_min"": 50.0, ""positive_rate_min"": 0.5}"
Lemon Lime,30.77,LOW,2,0.5,66.67,REJECTED,"REJECTED because opportunity score 30.7700 < 50.0; confidence LOW is not in ['HIGH', 'MEDIUM']. Purchase intent and temporal growth were unavailable in this dataset; those gaps were not used as automatic reject reasons.",False,False,"{""brand_fit_score_min"": 50.0, ""confidence_allowed"": [""HIGH"", ""MEDIUM""], ""mentions_min"": 2, ""note"": ""Project decision thresholds, not values supplied by Amazon Reviews 2023. brand_fit_score_min is 50 on the 0\u2013100 scale stored in opportunity_scores.csv (same rule as 0.50 on the 0\u20131 aggregation scale)."", ""opportunity_score_min"": 50.0, ""positive_rate_min"": 0.5}"
